chat,total_sessions,checkpoint_sessions,fraction,wall_time_seconds,chunks,graph_nodes,graph_edges,valid
Chat_10_Fahim_Muhhamed,20,5,0.25,65.24671903598937,5,1422,103710,True
Chat_10_Fahim_Muhhamed,20,10,0.5,48.15122055399115,10,2029,130222,True
Chat_10_Fahim_Muhhamed,20,15,0.75,83.04199518999667,15,3117,240773,True
Chat_10_Fahim_Muhhamed,20,20,1.0,110.52571875898866,20,4933,478791,True
Chat_1_Emi_Elise,18,4,0.2222222222222222,34.92685686700861,4,789,43079,True
Chat_1_Emi_Elise,18,9,0.5,71.76260326299234,9,2129,142240,True
Chat_1_Emi_Elise,18,14,0.7777777777777778,70.58563955599675,14,3124,200062,True
Chat_1_Emi_Elise,18,18,1.0,78.43405722999887,18,3775,230108,True
Chat_2_Kevin_Elise,22,6,0.2727272727272727,47.76824409500114,6,1249,75813,True
Chat_2_Kevin_Elise,22,11,0.5,52.92381761499564,11,2090,129385,True
Chat_2_Kevin_Elise,22,16,0.7272727272727273,53.732077674008906,16,2757,167152,True
Chat_2_Kevin_Elise,22,22,1.0,74.28244708899001,22,3782,214796,True
Chat_3_Kevin_Paola,21,5,0.238095238095238,41.4674470149912,5,910,48223,True
Chat_3_Kevin_Paola,21,10,0.4761904761904761,67.12014998699306,10,2227,153724,True
Chat_3_Kevin_Paola,21,16,0.7619047619047619,73.99930582899833,16,2990,203308,True
Chat_3_Kevin_Paola,21,21,1.0,72.7727709460014,21,3552,225320,True
Chat_4_Emi_Paola,20,5,0.25,42.649803980995785,5,854,41178,True
Chat_4_Emi_Paola,20,10,0.5,42.11560812000244,10,1505,66759,True
Chat_4_Emi_Paola,20,15,0.75,52.77043116299319,15,2158,91763,True
Chat_4_Emi_Paola,20,20,1.0,63.59344350200263,20,2731,112384,True
Chat_5_Nicolas_Nebraas,23,6,0.2608695652173913,79.72597177399439,6,1805,160019,True
Chat_5_Nicolas_Nebraas,23,12,0.5217391304347826,61.82365020400903,12,2694,226981,True
Chat_5_Nicolas_Nebraas,23,17,0.7391304347826086,85.38451628400071,17,3668,291478,True
Chat_5_Nicolas_Nebraas,23,23,1.0,109.8843997070071,23,5506,491039,True
Chat_6_Vanessa_Nicolas,25,6,0.24,81.0195143109886,6,2757,341035,True
Chat_6_Vanessa_Nicolas,25,12,0.48,70.07519698700344,12,3455,369265,True
Chat_6_Vanessa_Nicolas,25,19,0.76,76.028550559,19,4890,453402,True
Chat_6_Vanessa_Nicolas,25,25,1.0,109.36962499401125,25,6133,550422,True
Chat_7_Nebraas_Vanessa,25,6,0.24,46.0140559799911,6,1662,134459,True
Chat_7_Nebraas_Vanessa,25,12,0.48,46.40863084800367,12,2511,174510,True
Chat_7_Nebraas_Vanessa,25,19,0.76,83.17832769099914,19,3784,265116,True
Chat_7_Nebraas_Vanessa,25,25,1.0,69.73593805301061,25,4334,289233,True
Chat_8_Akib_Muhhamed,23,6,0.2608695652173913,60.98648373300966,6,1343,101797,True
Chat_8_Akib_Muhhamed,23,12,0.5217391304347826,56.4437348759966,12,2665,189748,True
Chat_8_Akib_Muhhamed,23,17,0.7391304347826086,74.84130547600216,17,3660,259884,True
Chat_8_Akib_Muhhamed,23,23,1.0,91.27294015299412,23,4990,343867,True
Chat_9_Fahim_Akib,22,6,0.2727272727272727,45.44922561700514,6,1509,114297,True
Chat_9_Fahim_Akib,22,11,0.5,66.44262888700177,11,2952,225433,True
Chat_9_Fahim_Akib,22,16,0.7272727272727273,91.68002752999018,16,4374,334527,True
Chat_9_Fahim_Akib,22,22,1.0,87.39775543900032,22,5540,401926,True
