chat,total_sessions,checkpoint_sessions,fraction,wall_time_seconds,chunks_rebuild,graph_nodes_rebuild,graph_edges_rebuild,valid_rebuild,session_number,latency_seconds,messages,graph_nodes_stream,graph_edges_stream,chunks_stream,valid_stream,stage_num,stage,seconds_saved,percent_reduction,speedup_x
Chat_10_Fahim_Muhhamed,20,5,0.25,65.24671903598937,5,1422,103710,True,5,26.128825902938843,50,1568,258370,5,True,1,25%,39.11789313305053,59.95380872940681,2.497116375544863
Chat_10_Fahim_Muhhamed,20,10,0.5,48.15122055399115,10,2029,130222,True,10,23.053021669387817,25,2177,645957,10,True,2,50%,25.098198884603335,52.12370236069332,2.088716231847876
Chat_10_Fahim_Muhhamed,20,15,0.75,83.04199518999667,15,3117,240773,True,15,11.424207925796509,19,3323,1212336,15,True,3,75%,71.61778726420016,86.24285471506508,7.268949911396757
Chat_10_Fahim_Muhhamed,20,20,1.0,110.52571875898866,20,4933,478791,True,20,84.6527144908905,101,5193,2108983,20,True,4,100%,25.873004268098157,23.409035072204855,1.305637030350425
Chat_1_Emi_Elise,18,4,0.2222222222222222,34.92685686700861,4,789,43079,True,4,26.6949999332428,40,844,87167,4,True,1,25%,8.231856933765808,23.56884550221723,1.308366995855086
Chat_1_Emi_Elise,18,9,0.5,71.76260326299234,9,2129,142240,True,9,29.663418769836422,22,2231,404970,9,True,2,50%,42.09918449315592,58.664516863850004,2.4192290113223547
Chat_1_Emi_Elise,18,14,0.7777777777777778,70.58563955599675,14,3124,200062,True,14,35.169408559799194,17,3581,835438,14,True,3,75%,35.416230996197555,50.17483898846206,2.0070181002895935
Chat_1_Emi_Elise,18,18,1.0,78.43405722999887,18,3775,230108,True,18,39.61472058296204,25,4272,1264545,18,True,4,100%,38.81933664703683,49.49296009666257,1.9799220107015647
Chat_2_Kevin_Elise,22,6,0.2727272727272727,47.76824409500114,6,1249,75813,True,6,14.75036907196045,25,1103,127704,6,True,1,25%,33.01787502304069,69.1209728316054,3.238443991601922
Chat_2_Kevin_Elise,22,11,0.5,52.92381761499564,11,2090,129385,True,11,32.181889057159424,48,1903,324273,11,True,2,50%,20.741928557836218,39.19204904817584,1.6445217843177484
Chat_2_Kevin_Elise,22,16,0.7272727272727273,53.732077674008906,16,2757,167152,True,16,9.359168767929075,1,2583,650120,16,True,3,75%,44.37290890607983,82.58178508430122,5.741116439542346
Chat_2_Kevin_Elise,22,22,1.0,74.28244708899001,22,3782,214796,True,22,15.242902994155884,11,3786,1158509,22,True,4,100%,59.03954409483413,79.47980499902627,4.873248036641697
Chat_3_Kevin_Paola,21,5,0.238095238095238,41.4674470149912,5,910,48223,True,5,16.569405794143677,23,939,102149,5,True,1,25%,24.898041220847524,60.0423778484517,2.5026514245699465
Chat_3_Kevin_Paola,21,10,0.4761904761904761,67.12014998699306,10,2227,153724,True,10,21.169272661209103,25,1748,292222,10,True,2,50%,45.95087732578395,68.46062968376647,3.1706403456168353
Chat_3_Kevin_Paola,21,16,0.7619047619047619,73.99930582899833,16,2990,203308,True,16,42.02590441703797,47,2591,587460,16,True,3,75%,31.97340141196036,43.20770452339953,1.7608022208083125
Chat_3_Kevin_Paola,21,21,1.0,72.7727709460014,21,3552,225320,True,21,22.954650163650516,17,3292,964303,21,True,4,100%,49.81812078235089,68.4570892859319,3.170284470779677
Chat_4_Emi_Paola,20,5,0.25,42.649803980995785,5,854,41178,True,5,19.73627781867981,22,773,66844,5,True,1,25%,22.913526162315975,53.72481001911744,2.160985185394431
Chat_4_Emi_Paola,20,10,0.5,42.11560812000244,10,1505,66759,True,10,26.677286624908447,13,1669,237145,10,True,2,50%,15.438321495093994,36.657007186278044,1.5787065870739385
Chat_4_Emi_Paola,20,15,0.75,52.77043116299319,15,2158,91763,True,15,19.44298768043518,18,2316,435413,15,True,3,75%,33.32744348255801,63.15552620674787,2.7141112276738357
Chat_4_Emi_Paola,20,20,1.0,63.59344350200263,20,2731,112384,True,20,30.0081148147583,26,3001,724172,20,True,4,100%,33.58532868724433,52.812565003162135,2.119208217329491
Chat_5_Nicolas_Nebraas,23,6,0.2608695652173913,79.72597177399439,6,1805,160019,True,6,21.79281520843506,116,1802,422503,6,True,1,25%,57.93315656555933,72.66535016943675,3.6583603821472273
Chat_5_Nicolas_Nebraas,23,12,0.5217391304347826,61.82365020400903,12,2694,226981,True,12,5.23223090171814,4,2592,1103228,12,True,2,50%,56.59141930229089,91.53684571445953,11.815925437026799
Chat_5_Nicolas_Nebraas,23,17,0.7391304347826086,85.38451628400071,17,3668,291478,True,17,50.61149477958679,91,3755,1811356,17,True,3,75%,34.77302150441392,40.72520758770131,1.687057785110883
Chat_5_Nicolas_Nebraas,23,23,1.0,109.8843997070071,23,5506,491039,True,23,34.84269380569458,94,5633,3077195,23,True,4,100%,75.04170590131253,68.29150097866646,3.153728592852024
Chat_6_Vanessa_Nicolas,25,6,0.24,81.0195143109886,6,2757,341035,True,6,50.6223030090332,116,2917,884179,6,True,1,25%,30.397211301955394,37.51838252853196,1.6004707311820883
Chat_6_Vanessa_Nicolas,25,12,0.48,70.07519698700344,12,3455,369265,True,12,29.71188235282898,25,3810,1994987,12,True,2,50%,40.36331463417446,57.60000166915047,2.358490658883863
Chat_6_Vanessa_Nicolas,25,19,0.76,76.028550559,19,4890,453402,True,19,37.89151620864868,36,5533,3393779,19,True,3,75%,38.137034350351314,50.16146443664745,2.006479501647564
Chat_6_Vanessa_Nicolas,25,25,1.0,109.36962499401125,25,6133,550422,True,25,35.67997932434082,29,6864,5010344,25,True,4,100%,73.68964566967043,67.37670141385732,3.065293956585885
Chat_7_Nebraas_Vanessa,25,6,0.24,46.0140559799911,6,1662,134459,True,6,27.316935539245605,82,1632,285432,6,True,1,25%,18.697120440745493,40.63349783569571,1.6844516074610116
